symbol,trades,total_R,mean_R,median_R,win_rate,profit_factor,avg_hold,tp_rate,sl_rate,time_rate,expectancy_R,score
HYQ,38,24.458581471835107,0.643646880837766,0.40021831215379555,0.5789473684210527,2.7491536646912564,17.263157894736842,0.3157894736842105,0.34210526315789475,0.34210526315789475,0.643646880837766,3.9677058452036285
GYC,30,19.2548826808654,0.6418294226955134,0.3694436266418919,0.6,2.949977207016111,20.766666666666666,0.26666666666666666,0.3,0.43333333333333335,0.6418294226955134,3.515444528808509
SMHN,29,14.83855822508329,0.5116744215545962,0.36641221374045774,0.5517241379310345,2.401368222509479,20.620689655172413,0.20689655172413793,0.3103448275862069,0.4827586206896552,0.5116744215545962,2.755451087666716
MBB,36,16.32827042806682,0.45356306744630054,0.03710532113495904,0.5277777777777778,2.0475589111632284,17.25,0.2777777777777778,0.4166666666666667,0.3055555555555556,0.45356306744630054,2.7213784046778033
PNE,32,13.473355253776294,0.4210423516805092,0.08936492810244837,0.53125,2.178341788987758,21.375,0.1875,0.3125,0.5,0.4210423516805092,2.3817752163201535
KWS,30,11.626621336256715,0.3875540445418905,-0.042058952664366184,0.5,1.9994964049888304,20.233333333333334,0.23333333333333334,0.3333333333333333,0.43333333333333335,0.3875540445418905,2.1227209244795535
F3C,22,9.426255001620579,0.42846613643729903,-0.1217939874967651,0.4090909090909091,2.006580186900061,16.90909090909091,0.3181818181818182,0.36363636363636365,0.3181818181818182,0.42846613643729903,2.0096843188961633
ADV,23,9.185979690419087,0.399390421322569,-0.013513513513514422,0.4782608695652174,2.02978805349278,21.782608695652176,0.17391304347826086,0.34782608695652173,0.4782608695652174,0.399390421322569,1.915409172687925
GLJ,32,10.563058329613764,0.3300955728004301,-0.0029854826144031406,0.5,1.8415598152814927,20.59375,0.1875,0.34375,0.46875,0.3300955728004301,1.8673025437347346
AOF,33,10.674442105342237,0.3234679425861284,0.07456978967495245,0.5757575757575758,2.057935311916432,22.424242424242426,0.15151515151515152,0.2727272727272727,0.5757575757575758,0.3234679425861284,1.8581818603327807
DEZ,42,10.78873166637876,0.2568745634852086,-0.04532852943980471,0.4523809523809524,1.5977234667834714,18.023809523809526,0.16666666666666666,0.40476190476190477,0.42857142857142855,0.2568745634852086,1.664737437964345
YSN,29,8.874283814175783,0.30600978669571666,-1.0,0.41379310344827586,1.5725089470167808,13.206896551724139,0.3103448275862069,0.5172413793103449,0.1724137931034483,0.30600978669571666,1.6479131339525097
EVT,29,8.622525596917674,0.29732846885923014,0.11070110701106943,0.5172413793103449,1.7894067498084836,20.379310344827587,0.13793103448275862,0.3448275862068966,0.5172413793103449,0.29732846885923014,1.6011628066599135
KSB,40,10.09261757911245,0.2523154394778112,-0.2020991918637314,0.425,1.5364668921381572,16.65,0.225,0.45,0.325,0.2523154394778112,1.5957829551524985
MUX,22,7.192074440738416,0.3269124745790189,0.1371442953775701,0.5,1.7835157615564372,20.59090909090909,0.22727272727272727,0.4090909090909091,0.36363636363636365,0.3269124745790189,1.5333554228483066
DBAN,25,7.321712217751715,0.2928684887100686,-0.19565217391304465,0.48,1.737152805963388,21.0,0.16,0.32,0.52,0.2928684887100686,1.464342443550343
CWC,34,6.733570747904137,0.19804619846776875,-0.14395573267694145,0.4411764705882353,1.4787847763138815,22.58823529411765,0.14705882352941177,0.35294117647058826,0.5,0.19804619846776875,1.1547978562225447
ADN1,34,6.651378657771499,0.1956287840521029,-0.2112123524306686,0.4411764705882353,1.4435977809070089,18.823529411764707,0.17647058823529413,0.38235294117647056,0.4411764705882353,0.1956287840521029,1.1407020290548915
WUW,38,6.71089268907743,0.17660243918624816,-0.6641853360187038,0.4473684210526316,1.3433137656371987,16.736842105263158,0.21052631578947367,0.47368421052631576,0.3157894736842105,0.17660243918624816,1.088650549078185
DRW3,31,5.837659532755055,0.18831159783080823,-0.13978494623655888,0.45161290322580644,1.4034533226998185,17.29032258064516,0.1935483870967742,0.45161290322580644,0.3548387096774194,0.18831159783080823,1.0484746035099533
WAF,22,4.40077947943699,0.20003543088349954,0.12034181643329159,0.6363636363636364,1.6112637839968595,21.90909090909091,0.09090909090909091,0.3181818181818182,0.5909090909090909,0.20003543088349954,0.9382493375390366
LPK,21,3.9013350723548497,0.18577786058832618,-0.12922338356830337,0.47619047619047616,1.4054093608506144,20.571428571428573,0.09523809523809523,0.42857142857142855,0.47619047619047616,0.18577786058832618,0.851341108592958
S92,31,4.716711079602975,0.1521519703097734,-1.0,0.3548387096774194,1.2650737024954428,16.032258064516128,0.1935483870967742,0.5161290322580645,0.2903225806451613,0.1521519703097734,0.8471463180251279
STO3,38,4.843345196486846,0.12745645253912752,-0.40727526663280844,0.47368421052631576,1.2574255062816102,19.473684210526315,0.13157894736842105,0.47368421052631576,0.39473684210526316,0.12745645253912752,0.7856943408009484
