symbol,trades,total_R,mean_R,median_R,win_rate,profit_factor,avg_hold,tp_rate,sl_rate,time_rate,expectancy_R,score
DTE,35,20.89752821557756,0.5970722347307874,0.3409090909090896,0.5428571428571428,2.561976941227453,18.771428571428572,0.3142857142857143,0.34285714285714286,0.34285714285714286,0.5970722347307874,3.53232697694092
HNR1,52,22.45449255032889,0.4318171644294017,0.2609153117369623,0.6346153846153846,2.384834502189587,20.903846153846153,0.17307692307692307,0.3076923076923077,0.5192307692307693,0.4318171644294017,3.113877855951345
RHM,41,13.75861263802215,0.33557591800054026,0.0602276032577077,0.5121951219512195,1.928004828883159,22.902439024390244,0.12195121951219512,0.2926829268292683,0.5853658536585366,0.33557591800054026,2.1487342940480376
AIR,48,14.437690643214905,0.30078522173364386,0.09267837975255722,0.5416666666666666,1.897724586311288,21.083333333333332,0.125,0.2916666666666667,0.5833333333333334,0.30078522173364386,2.0839011448341664
EOAN,41,11.867966599847957,0.28946259999629165,-0.07500000000000277,0.4878048780487805,1.7031729446606971,18.829268292682926,0.1951219512195122,0.36585365853658536,0.43902439024390244,0.28946259999629165,1.8534649898665847
SY1,46,8.370250191664516,0.18196196068835904,-0.2552169841082055,0.43478260869565216,1.397638494070041,18.065217391304348,0.1956521739130435,0.41304347826086957,0.391304347826087,0.18196196068835904,1.2341260617649188
MUV2,53,8.416980030710706,0.1588109439756737,-0.11055034847392642,0.4528301886792453,1.3850517510040725,21.22641509433962,0.09433962264150944,0.3584905660377358,0.5471698113207547,0.1588109439756737,1.1561611237632763
G24,30,5.163847318055583,0.1721282439351861,-0.08929112647477766,0.43333333333333335,1.4071609708269615,20.866666666666667,0.13333333333333333,0.4,0.4666666666666667,0.1721282439351861,0.9427852198705323
CBK,41,5.878000147626953,0.14336585725919399,-0.2534722222222234,0.4634146341463415,1.3127714709938876,20.341463414634145,0.12195121951219512,0.4146341463414634,0.4634146341463415,0.14336585725919399,0.9179893954366831
DB1,45,5.604775026220115,0.12455055613822477,0.06834532374100853,0.5333333333333333,1.2930509388379803,22.266666666666666,0.08888888888888889,0.4,0.5111111111111111,0.12455055613822477,0.8355105304814229
RWE,34,4.706084169632924,0.1384142402833213,-0.5402506258344597,0.4411764705882353,1.2700477149719367,18.176470588235293,0.14705882352941177,0.4411764705882353,0.4117647058823529,0.1384142402833213,0.8070867766536051
MTX,44,4.999760631961945,0.11363092345368057,0.19974972137274416,0.5227272727272727,1.26104854635606,18.727272727272727,0.09090909090909091,0.4090909090909091,0.5,0.11363092345368057,0.7537422753549077
BNR,43,4.659571411230029,0.10836212584255882,-0.07575757575757681,0.4883720930232558,1.2550772812301152,21.162790697674417,0.09302325581395349,0.37209302325581395,0.5348837209302325,0.10836212584255882,0.7105779785752565
BEI,35,3.8434651243436533,0.10981328926696152,-0.06395833333333392,0.42857142857142855,1.2409866617446532,22.142857142857142,0.11428571428571428,0.4,0.4857142857142857,0.10981328926696152,0.6496641805479411
CON,42,3.9510629798171673,0.09407292809088494,-0.12271483305966048,0.47619047619047616,1.2166854013737443,22.095238095238095,0.09523809523809523,0.38095238095238093,0.5238095238095238,0.09407292809088494,0.6096622536969941
SIE,51,4.281741179194915,0.08395570939597873,-0.13341242450388222,0.47058823529411764,1.189124078019201,21.80392156862745,0.09803921568627451,0.4117647058823529,0.49019607843137253,0.08395570939597873,0.5995636898189246
VNA,29,3.14819735289689,0.1085585294102376,-1.0,0.4482758620689655,1.2013496125216439,15.620689655172415,0.1724137931034483,0.5172413793103449,0.3103448275862069,0.1085585294102376,0.5846055720942875
IFX,49,3.9555984212459134,0.08072649839277374,0.05531586685627686,0.5102040816326531,1.210220165862944,22.6734693877551,0.061224489795918366,0.32653061224489793,0.6122448979591837,0.08072649839277374,0.5650854887494161
BAYN,39,1.450617716503974,0.03719532606420446,-0.5406824146981621,0.46153846153846156,1.0732649042005717,16.256410256410255,0.10256410256410256,0.48717948717948717,0.41025641025641024,0.03719532606420446,0.23228473682073264
DBK,39,1.1380278963131205,0.029180202469567193,-0.5010808713485948,0.41025641025641024,1.0546928369847268,17.28205128205128,0.10256410256410256,0.48717948717948717,0.41025641025641024,0.029180202469567193,0.18223030601530713
HEI,48,1.21886663060448,0.02539305480426,-0.19838430966096882,0.4166666666666667,1.0561376133853038,20.9375,0.125,0.4166666666666667,0.4583333333333333,0.02539305480426,0.17592824432143717
BMW,42,0.41697603133644434,0.009928000746105817,-0.2852095446895666,0.4523809523809524,1.0208052247244046,19.714285714285715,0.09523809523809523,0.4523809523809524,0.4523809523809524,0.009928000746105817,0.06434079848911158
MRK,35,0.29960557468921867,0.008560159276834818,-0.7024999999999991,0.37142857142857144,1.0159758290777265,18.714285714285715,0.11428571428571428,0.45714285714285713,0.42857142857142855,0.008560159276834818,0.0506425852377951
G1A,50,0.15965057586794806,0.003193011517358961,-0.2946209563331452,0.42,1.0067485628069062,20.5,0.06,0.44,0.5,0.003193011517358961,0.02257800096331269
PAH3,30,0.06996909224451009,0.002332303074817003,-0.24339891683309683,0.43333333333333335,1.0052852857968426,23.4,0.06666666666666667,0.3333333333333333,0.6,0.002332303074817003,0.012774550050159317
BAS,34,-1.3796152463447746,-0.04057691901014043,-0.5886801793069778,0.4117647058823529,0.9192742074281101,21.88235294117647,0.08823529411764706,0.4117647058823529,0.5,-0.04057691901014043,-0.23660206278916265
ADS,44,-3.6993102484817713,-0.08407523292004025,-0.5597863208502827,0.38636363636363635,0.8352324809121224,20.181818181818183,0.09090909090909091,0.45454545454545453,0.45454545454545453,-0.08407523292004025,-0.5576920035150198
