trade_date,universe,symbol,mode,buy,sl,tp,shares,fee_usd,cost_usd,risk_per_share,risk_usd,exp_profit_usd,cash_after_usd,rr,score
2026-01-14,sp500,EA,EDGE,204.28,203.22351,206.921225,2,1.9,410.46,1.0564899999999966,2.112979999999993,3.382449999999983,89.54000000000002,2.500000000000027,
2026-01-14,sp500,HOLX,EDGE,74.9,74.468,75.98000000000002,1,1.9,76.80000000000001,0.43200000000000216,0.43200000000000216,-0.8199999999999874,12.740000000000009,2.5000000000000164,
