trade_date,universe,symbol,mode,buy,sl,tp,risk_R,rr,time_stop_bars
2026-01-15,sp500,EA,EDGE,204.3,203.24351,206.94122500000003,1.0564900000000024,2.500000000000027,30
2026-01-15,sp500,HOLX,EDGE,75.02,74.588,76.1,0.4320000000000021,2.5000000000000164,30
2026-01-15,sp500,SPG,EDGE,186.525,181.455122,199.199695,5.069878000000003,2.5000000000000084,30
2026-01-15,sp500,CINF,EDGE,164.09,158.83208000000002,177.2348,5.257919999999999,2.500000000000008,30
2026-01-15,sp500,L,ACTIVE,104.0,101.13751,111.156225,2.86249,2.5000000000000075,30
2026-01-15,sp500,TJX,EDGE,155.75,151.63098000000002,166.04754999999997,4.119019999999989,2.500000000000007,30
