universe,symbol,mode,trade_date,entry_date,buy,sl,tp,risk_R,rr,time_stop_bars,signal_date,signal_age_days,signal_close,max_allowed_open,invalid_reason
sdax,JEN,EDGE,2026-01-14,2026-01-14,21.0,19.948,23.630000000000003,1.0520000000000005,2.500000000000004,30,2026-01-14,0,20.98,21.506,
sdax,KWS,EDGE,2026-01-14,2026-01-14,72.0,68.98,79.55,3.0200000000000005,2.500000000000002,30,2026-01-13,1,71.9,73.41000000000001,
sdax,KWS,EDGE,2026-01-14,2026-01-14,72.0,69.0,79.5,3.0000000000000013,2.5,30,2026-01-14,0,71.8,73.3,
sdax,NA9,EDGE,2026-01-14,2026-01-14,67.8,63.145,79.4375,4.655000000000001,2.5,30,2026-01-14,0,68.4,70.7275,
sdax,PAT,EDGE,2026-01-14,2026-01-14,8.29,7.727999999999999,9.695,0.5620000000000002,2.500000000000001,30,2026-01-12,2,8.26,8.541,
sdax,S92,EDGE,2026-01-14,2026-01-14,33.78,30.278,42.535,3.502000000000001,2.499999999999999,30,2026-01-09,5,36.2,37.951,
sdax,S92,EDGE,2026-01-14,2026-01-14,33.78,30.458,42.08500000000001,3.3220000000000014,2.499999999999998,30,2026-01-12,2,36.06,37.721,
sdax,S92,EDGE,2026-01-14,2026-01-14,33.78,30.208,42.71000000000001,3.5720000000000014,2.4999999999999982,30,2026-01-13,1,33.8,35.586,
sdax,SPG,EDGE,2026-01-14,2026-01-14,18.14,17.115000000000002,20.7025,1.025,2.500000000000004,30,2025-10-30,76,22.0,22.5125,
sp500,A,EDGE,2026-01-14,2026-01-14,146.5,141.1254,159.9365,5.374599999999998,2.5000000000000053,30,2026-01-08,6,145.76,148.44729999999998,
sp500,A,EDGE,2026-01-14,2026-01-14,146.5,140.56911,161.327225,5.930889999999996,2.499999999999998,30,2026-01-13,1,146.32,149.28544499999998,
sp500,A,EDGE,2026-01-14,2026-01-14,146.5,140.65211,161.119725,5.847889999999998,2.499999999999995,30,2026-01-14,0,145.92,148.843945,
sp500,AAPL,EDGE,2026-01-14,2026-01-14,259.49,251.055,280.57750000000004,8.435000000000008,2.500000000000004,30,2026-01-08,6,259.04,263.25750000000005,
sp500,AAPL,EDGE,2026-01-14,2026-01-14,259.49,250.987,280.7475,8.503000000000004,2.499999999999995,30,2026-01-09,5,259.37,263.6215,
sp500,AAPL,EDGE,2026-01-14,2026-01-14,259.49,251.115,280.4275,8.375000000000005,2.5,30,2026-01-12,2,260.25,264.4375,
sp500,AAPL,EDGE,2026-01-14,2026-01-14,259.49,251.013,280.6825,8.477000000000004,2.4999999999999982,30,2026-01-13,1,261.05,265.2885,
sp500,AEP,EDGE,2026-01-14,2026-01-14,116.99,113.76345,125.056375,3.2265499999999987,2.499999999999996,30,2026-01-08,6,115.93,117.543275,
sp500,AES,EDGE,2026-01-14,2026-01-14,13.935,13.25165,15.643375,0.6833500000000001,2.4999999999999973,30,2026-01-08,6,14.22,14.561675,
sp500,AES,EDGE,2026-01-14,2026-01-14,13.935,13.24015,15.672125,0.69485,2.499999999999996,30,2026-01-12,2,14.04,14.387425,
sp500,AES,EDGE,2026-01-14,2026-01-14,13.935,13.25065,15.645875,0.68435,2.4999999999999987,30,2026-01-13,1,13.97,14.312175,
sp500,AES,EDGE,2026-01-14,2026-01-14,13.935,13.24465,15.660875,0.6903499999999999,2.4999999999999987,30,2026-01-14,0,14.0,14.345175,
sp500,AFL,EDGE,2026-01-14,2026-01-14,108.39,104.95191,116.985225,3.4380900000000025,2.499999999999998,30,2026-01-08,6,110.26,111.979045,
sp500,AFL,EDGE,2026-01-14,2026-01-14,108.39,104.92891,117.042725,3.4610900000000013,2.500000000000002,30,2026-01-14,0,110.18,111.910545,
sp500,AIZ,EDGE,2026-01-14,2026-01-14,236.65,228.05475,258.138125,8.595249999999998,2.500000000000005,30,2026-01-13,1,235.01,239.307625,
sp500,AME,EDGE,2026-01-14,2026-01-14,211.33,204.8426,227.5485,6.487399999999999,2.499999999999998,30,2026-01-08,6,210.04,213.2837,
sp500,AMZN,EDGE,2026-01-14,2026-01-14,241.15,231.33574,265.68565,9.81425999999999,2.500000000000003,30,2026-01-13,1,242.6,247.50713,
sp500,AMZN,EDGE,2026-01-14,2026-01-14,241.15,231.34074,265.67315,9.80925999999999,2.499999999999997,30,2026-01-14,0,236.65,241.55463,
sp500,APO,EDGE,2026-01-14,2026-01-14,142.6,135.40086,160.59784999999997,7.199139999999991,2.499999999999996,30,2026-01-08,6,146.19,149.78957,
sp500,APO,EDGE,2026-01-14,2026-01-14,142.6,135.51136,160.3216,7.088639999999993,2.499999999999996,30,2026-01-09,5,145.82,149.36432,
sp500,APO,EDGE,2026-01-14,2026-01-14,142.6,135.426,160.53499999999997,7.173999999999992,2.4999999999999942,30,2026-01-12,2,143.91,147.497,
sp500,APO,EDGE,2026-01-14,2026-01-14,142.6,135.522,160.29499999999996,7.077999999999991,2.499999999999994,30,2026-01-13,1,143.24,146.779,
sp500,APO,EDGE,2026-01-14,2026-01-14,142.6,135.407,160.58249999999998,7.1929999999999925,2.500000000000004,30,2026-01-14,0,144.06,147.6565,
sp500,APP,EDGE,2026-01-14,2026-01-14,673.0,607.6316400000001,836.4209,65.36836,2.5000000000000018,30,2026-01-09,5,647.72,680.40418,
sp500,APP,EDGE,2026-01-14,2026-01-14,673.0,606.47165,839.320875,66.52834999999999,2.5000000000000027,30,2026-01-12,2,658.65,691.914175,
sp500,AXP,EDGE,2026-01-14,2026-01-14,356.62,342.79868,391.1733,13.821320000000004,2.499999999999996,30,2026-01-09,5,375.61,382.52066,
sp500,BAC,EDGE,2026-01-14,2026-01-14,52.895,51.025850000000005,57.567875,1.869149999999999,2.5000000000000018,30,2026-01-12,2,55.19,56.124575,
sp500,BAC,EDGE,2026-01-14,2026-01-14,52.895,50.99835,57.636625,1.89665,2.4999999999999982,30,2026-01-13,1,54.54,55.488325,
sp500,BIIB,EDGE,2026-01-14,2026-01-14,177.73,168.33830999999998,201.209225,9.39169,2.4999999999999987,30,2026-01-13,1,178.3,182.995845,
sp500,BMY,EDGE,2026-01-14,2026-01-14,56.15,53.89704,61.7824,2.252959999999999,2.499999999999997,30,2026-01-09,5,55.86,56.98648,
sp500,BMY,EDGE,2026-01-14,2026-01-14,56.15,53.89375,61.790625,2.256249999999999,2.4999999999999982,30,2026-01-12,2,55.77,56.898125,
sp500,BRK.B,EDGE,2026-01-14,2026-01-14,494.17,482.07443,524.4089250000001,12.09557000000001,2.499999999999998,30,2026-01-09,5,499.1,505.147785,
sp500,BRK.B,EDGE,2026-01-14,2026-01-14,494.17,482.35393,523.710175,11.816070000000009,2.499999999999993,30,2026-01-12,2,498.67,504.578035,
sp500,C,EDGE,2026-01-14,2026-01-14,117.91,112.98902,130.21245,4.920980000000002,2.4999999999999987,30,2026-01-08,6,120.6,123.06049,
sp500,CB,EDGE,2026-01-14,2026-01-14,301.61,292.67236,323.9541,8.937639999999993,2.5,30,2026-01-09,5,306.81,311.27882,
sp500,CB,EDGE,2026-01-14,2026-01-14,301.61,293.41541,322.096475,8.194589999999994,2.4999999999999964,30,2026-01-12,2,306.62,310.717295,
sp500,CB,EDGE,2026-01-14,2026-01-14,301.61,293.05169,323.005775,8.558309999999995,2.5,30,2026-01-13,1,300.69,304.969155,
sp500,CB,EDGE,2026-01-14,2026-01-14,301.61,293.03669,323.043275,8.573309999999998,2.5,30,2026-01-14,0,301.01,305.296655,
sp500,CBRE,EDGE,2026-01-14,2026-01-14,164.63,158.59572999999995,179.71567500000003,6.034270000000009,2.499999999999998,30,2026-01-08,6,165.96,168.977135,
sp500,CCL,EDGE,2026-01-14,2026-01-14,30.735,28.61656,36.0311,2.118439999999998,2.4999999999999982,30,2026-01-08,6,31.69,32.74922,
sp500,CCL,EDGE,2026-01-14,2026-01-14,30.735,28.67106,35.89484999999999,2.063939999999998,2.499999999999999,30,2026-01-13,1,30.99,32.02197,
sp500,CCL,EDGE,2026-01-14,2026-01-14,30.735,28.64956,35.94859999999999,2.085439999999998,2.4999999999999982,30,2026-01-14,0,30.18,31.22272,
sp500,CFG,EDGE,2026-01-14,2026-01-14,59.635,57.53938,64.87405,2.09562,2.500000000000004,30,2026-01-12,2,60.2,61.24781,
sp500,CFG,EDGE,2026-01-14,2026-01-14,59.635,57.54688,64.8553,2.08812,2.500000000000005,30,2026-01-13,1,59.78,60.82406,
sp500,CINF,EDGE,2026-01-14,2026-01-14,161.22,155.90108,174.5173,5.31892,2.5000000000000053,30,2026-01-09,5,162.99,165.64946,
sp500,CINF,EDGE,2026-01-14,2026-01-14,161.22,155.96208,174.3648,5.257919999999999,2.500000000000008,30,2026-01-12,2,163.63,166.25896,
sp500,CINF,EDGE,2026-01-14,2026-01-14,161.22,155.83051,174.693725,5.38949,2.5000000000000027,30,2026-01-13,1,161.01,163.704745,
sp500,CINF,EDGE,2026-01-14,2026-01-14,161.22,155.78226,174.81435,5.43774,2.5000000000000027,30,2026-01-14,0,163.68,166.39887000000002,
sp500,COO,EDGE,2026-01-14,2026-01-14,81.43,78.21480000000001,89.468,3.215199999999997,2.500000000000002,30,2026-01-08,6,83.13,84.7376,
sp500,COO,EDGE,2026-01-14,2026-01-14,81.43,78.18730000000001,89.53675,3.242699999999998,2.499999999999998,30,2026-01-13,1,81.7,83.32135,
sp500,COO,EDGE,2026-01-14,2026-01-14,81.43,78.1868,89.538,3.243199999999997,2.499999999999996,30,2026-01-14,0,81.69,83.3116,
sp500,CRL,EDGE,2026-01-14,2026-01-14,221.07,209.17129,250.816775,11.898709999999998,2.5,30,2026-01-13,1,218.99,224.939355,
sp500,CRL,EDGE,2026-01-14,2026-01-14,221.07,209.29729,250.501775,11.772709999999998,2.5000000000000013,30,2026-01-14,0,216.39,222.276355,
sp500,CSCO,EDGE,2026-01-14,2026-01-14,74.93,72.38984,81.28040000000001,2.540160000000003,2.5000000000000027,30,2026-01-08,6,73.96,75.23008,
sp500,CSCO,EDGE,2026-01-14,2026-01-14,74.93,72.49203,81.02492500000002,2.4379700000000044,2.4999999999999942,30,2026-01-09,5,73.88,75.098985,
sp500,CSCO,EDGE,2026-01-14,2026-01-14,74.93,72.52153,80.95117500000002,2.408470000000004,2.499999999999997,30,2026-01-12,2,74.01,75.214235,
sp500,CSCO,EDGE,2026-01-14,2026-01-14,74.93,72.54153000000001,80.90117500000002,2.388470000000004,2.500000000000003,30,2026-01-13,1,75.47,76.664235,
sp500,CSCO,EDGE,2026-01-14,2026-01-14,74.93,72.49403000000001,81.01992500000001,2.4359700000000046,2.5000000000000058,30,2026-01-14,0,74.41,75.627985,
sp500,CSX,EDGE,2026-01-14,2026-01-14,35.54,34.472,38.21,1.0679999999999992,2.5000000000000067,30,2026-01-08,6,35.32,35.854,
sp500,CTSH,EDGE,2026-01-14,2026-01-14,84.7,81.42287,92.892825,3.27713,2.5,30,2026-01-12,2,85.23,86.868565,
sp500,CTSH,EDGE,2026-01-14,2026-01-14,84.7,81.31887,93.152825,3.38113,2.500000000000002,30,2026-01-13,1,84.47,86.160565,
sp500,DAL,EDGE,2026-01-14,2026-01-14,69.39,66.06598,77.70005,3.324019999999998,2.499999999999998,30,2026-01-08,6,71.29,72.95201,
sp500,DAL,EDGE,2026-01-14,2026-01-14,69.39,65.90897,78.092575,3.48103,2.499999999999996,30,2026-01-13,1,69.33,71.070515,
sp500,DAL,EDGE,2026-01-14,2026-01-14,69.39,65.77047,78.43882500000001,3.61953,2.500000000000004,30,2026-01-14,0,68.49,70.299765,
sp500,DHR,EDGE,2026-01-14,2026-01-14,236.13,227.586993,257.4875175,8.543006999999998,2.500000000000003,30,2026-01-08,6,235.0,239.2715035,
sp500,EA,EDGE,2026-01-14,2026-01-14,204.28,203.22351,206.921225,1.0564900000000024,2.500000000000027,30,2026-01-09,5,204.1,204.628245,
sp500,EIX,EDGE,2026-01-14,2026-01-14,60.71,58.40634,66.46915,2.3036599999999985,2.4999999999999987,30,2026-01-08,6,59.61,60.76183,
sp500,EPAM,EDGE,2026-01-14,2026-01-14,212.275,199.74938,243.58905,12.525619999999996,2.499999999999998,30,2026-01-12,2,211.82,218.08281,
sp500,EW,EDGE,2026-01-14,2026-01-14,83.3,80.26661,90.883475,3.033389999999997,2.5,30,2026-01-08,6,84.58,86.096695,
sp500,EW,EDGE,2026-01-14,2026-01-14,83.3,80.23261,90.96847499999998,3.0673899999999974,2.499999999999998,30,2026-01-09,5,85.13,86.66369499999999,
sp500,EW,EDGE,2026-01-14,2026-01-14,83.3,79.97411,91.614725,3.3258899999999967,2.499999999999998,30,2026-01-12,2,83.01,84.672945,
sp500,EW,EDGE,2026-01-14,2026-01-14,83.3,79.98211,91.59472499999998,3.317889999999997,2.500000000000006,30,2026-01-13,1,83.84,85.498945,
sp500,EW,EDGE,2026-01-14,2026-01-14,83.3,79.94811,91.679725,3.351889999999996,2.5,30,2026-01-14,0,83.1,84.775945,
sp500,F,EDGE,2026-01-14,2026-01-14,14.0,13.46651,15.333725,0.5334900000000002,2.5,30,2026-01-12,2,14.03,14.296745,
sp500,F,EDGE,2026-01-14,2026-01-14,14.0,13.47051,15.323725,0.5294900000000003,2.4999999999999982,30,2026-01-13,1,13.98,14.244745,
sp500,F,EDGE,2026-01-14,2026-01-14,14.0,13.46951,15.326225,0.5304900000000004,2.5,30,2026-01-14,0,13.84,14.105245,
sp500,FDX,EDGE,2026-01-14,2026-01-14,309.66,296.94157,341.456075,12.718429999999987,2.499999999999996,30,2026-01-13,1,309.66,316.01921500000003,
sp500,FITB,EDGE,2026-01-14,2026-01-14,48.01,46.28289,52.327775,1.727110000000001,2.499999999999998,30,2026-01-12,2,48.52,49.383555,
sp500,FITB,EDGE,2026-01-14,2026-01-14,48.01,46.26039,52.384025,1.7496100000000006,2.499999999999996,30,2026-01-13,1,48.13,49.004805000000005,
sp500,FOX,EDGE,2026-01-14,2026-01-14,66.44,64.131,72.2125,2.309,2.500000000000006,30,2026-01-14,0,66.21,67.36449999999999,
sp500,FOXA,EDGE,2026-01-14,2026-01-14,73.27,70.40728999999999,80.42677499999999,2.86271,2.500000000000005,30,2026-01-13,1,73.23,74.661355,
sp500,FOXA,EDGE,2026-01-14,2026-01-14,73.27,70.47529,80.25677499999999,2.79471,2.5000000000000027,30,2026-01-14,0,73.09,74.48735500000001,
sp500,GEHC,EDGE,2026-01-14,2026-01-14,84.16,80.44100999999999,93.457475,3.7189900000000007,2.4999999999999982,30,2026-01-12,2,86.9,88.759495,
sp500,GEV,EDGE,2026-01-14,2026-01-14,648.88,594.65603,784.439925,54.22397000000002,2.5,30,2026-01-09,5,622.5,649.611985,
sp500,GEV,EDGE,2026-01-14,2026-01-14,648.88,596.0720299999999,780.899925,52.807970000000026,2.499999999999998,30,2026-01-12,2,639.77,666.173985,
sp500,GEV,EDGE,2026-01-14,2026-01-14,648.88,598.91503,773.7924250000001,49.964970000000015,2.5,30,2026-01-13,1,652.09,677.072485,
sp500,GEV,EDGE,2026-01-14,2026-01-14,648.88,599.56903,772.1574250000001,49.31097000000002,2.500000000000002,30,2026-01-14,0,644.18,668.835485,
sp500,GM,EDGE,2026-01-14,2026-01-14,82.99,79.73328,91.1318,3.2567200000000027,2.5,30,2026-01-12,2,82.9,84.52836,
sp500,GS,EDGE,2026-01-14,2026-01-14,932.8,890.9883199999999,1037.3292,41.81168,2.5,30,2026-01-08,6,934.83,955.73584,
sp500,HAS,EDGE,2026-01-14,2026-01-14,86.65,83.11778000000001,95.48055,3.532220000000001,2.500000000000004,30,2026-01-12,2,86.64,88.40611,
sp500,HBAN,EDGE,2026-01-14,2026-01-14,17.43,16.76377,19.095575,0.6662299999999988,2.5,30,2026-01-12,2,17.9,18.233115,
sp500,HBAN,EDGE,2026-01-14,2026-01-14,17.43,16.74277,19.148075,0.6872299999999989,2.4999999999999947,30,2026-01-13,1,17.5,17.843615,
sp500,HBAN,EDGE,2026-01-14,2026-01-14,17.43,16.74127,19.151824999999995,0.688729999999999,2.4999999999999947,30,2026-01-14,0,17.68,18.024365,
sp500,HCA,EDGE,2026-01-14,2026-01-14,478.255,457.05768,531.2483,21.19732000000001,2.5000000000000053,30,2026-01-09,5,472.07,482.66866,
sp500,HCA,EDGE,2026-01-14,2026-01-14,478.255,457.59268,529.9108,20.662320000000012,2.4999999999999973,30,2026-01-12,2,474.32,484.65116,
sp500,HIG,EDGE,2026-01-14,2026-01-14,132.335,128.10546,142.90885,4.22954,2.5000000000000067,30,2026-01-09,5,136.26,138.37476999999998,
sp500,HIG,EDGE,2026-01-14,2026-01-14,132.335,128.51996,141.8726,3.815039999999999,2.4999999999999925,30,2026-01-12,2,135.24,137.14752,
sp500,HOLX,EDGE,2026-01-14,2026-01-14,74.9,74.45750000000001,76.00625000000001,0.4425000000000025,2.499999999999952,30,2026-01-09,5,74.87,75.09125,
sp500,HOLX,EDGE,2026-01-14,2026-01-14,74.9,74.468,75.98000000000002,0.4320000000000021,2.5000000000000164,30,2026-01-12,2,74.86,75.076,
sp500,HSIC,EDGE,2026-01-14,2026-01-14,75.83,72.82826999999999,83.334325,3.001730000000004,2.499999999999995,30,2026-01-12,2,76.13,77.630865,
sp500,HSIC,EDGE,2026-01-14,2026-01-14,75.83,72.82777,83.335575,3.002230000000003,2.500000000000005,30,2026-01-13,1,75.82,77.32111499999999,
sp500,HST,EDGE,2026-01-14,2026-01-14,18.51,17.718700000000002,20.48825,0.7912999999999993,2.5,30,2026-01-14,0,18.22,18.61565,
sp500,IDXX,EDGE,2026-01-14,2026-01-14,710.21,678.64592,789.1202,31.56407999999997,2.4999999999999982,30,2026-01-14,0,710.48,726.26204,
sp500,IQV,EDGE,2026-01-14,2026-01-14,241.515,232.276,264.61249999999995,9.238999999999994,2.499999999999996,30,2026-01-09,5,242.41,247.0295,
sp500,IQV,EDGE,2026-01-14,2026-01-14,241.515,232.2395,264.70375,9.27549999999999,2.5000000000000013,30,2026-01-12,2,240.86,245.49775,
sp500,ISRG,EDGE,2026-01-14,2026-01-14,533.96,511.987631,588.8909225000001,21.97236900000001,2.4999999999999947,30,2026-01-08,6,585.08,596.0661845000001,
sp500,ISRG,EDGE,2026-01-14,2026-01-14,533.96,511.718631,589.5634225000001,22.24136900000003,2.4999999999999947,30,2026-01-12,2,572.745,583.8656845,
sp500,ISRG,EDGE,2026-01-14,2026-01-14,533.96,511.178131,590.9146725000002,22.78186900000004,2.5000000000000027,30,2026-01-13,1,561.82,573.2109345000001,
sp500,IVZ,EDGE,2026-01-14,2026-01-14,28.32,27.08106,31.417350000000003,1.2389400000000006,2.5000000000000027,30,2026-01-14,0,28.25,28.86947,
sp500,JBHT,EDGE,2026-01-14,2026-01-14,203.99,196.46679,222.798025,7.523210000000009,2.5,30,2026-01-13,1,205.17,208.931605,
sp500,JPM,EDGE,2026-01-14,2026-01-14,308.2,297.35677,335.308075,10.84323,2.4999999999999973,30,2026-01-12,2,324.49,329.911615,
sp500,KEY,EDGE,2026-01-14,2026-01-14,20.8,20.09794,22.55515,0.7020599999999995,2.4999999999999973,30,2026-01-12,2,21.07,21.42103,
sp500,KEY,EDGE,2026-01-14,2026-01-14,20.8,20.09108,22.5723,0.7089199999999998,2.500000000000005,30,2026-01-13,1,20.85,21.20446,
sp500,KEYS,EDGE,2026-01-14,2026-01-14,209.09,199.99117,231.83707500000003,9.098830000000008,2.500000000000005,30,2026-01-08,6,206.67,211.219415,
sp500,L,EDGE,2026-01-14,2026-01-14,103.26,100.38676,110.4431,2.8732399999999982,2.5000000000000027,30,2026-01-08,6,105.49,106.92662,
sp500,L,EDGE,2026-01-14,2026-01-14,103.26,100.35001,110.534975,2.909989999999999,2.500000000000005,30,2026-01-09,5,104.58,106.034995,
sp500,L,EDGE,2026-01-14,2026-01-14,103.26,100.47401,110.224975,2.785989999999998,2.5,30,2026-01-12,2,104.52,105.912995,
sp500,L,EDGE,2026-01-14,2026-01-14,103.26,100.38251,110.453725,2.877489999999999,2.500000000000005,30,2026-01-13,1,102.77,104.208745,
sp500,L,EDGE,2026-01-14,2026-01-14,103.26,100.35651,110.518725,2.9034899999999992,2.499999999999995,30,2026-01-14,0,103.6,105.051745,
sp500,LUV,EDGE,2026-01-14,2026-01-14,43.14,40.95553,48.601175,2.18447,2.5000000000000018,30,2026-01-13,1,43.2,44.292235000000005,
sp500,LUV,EDGE,2026-01-14,2026-01-14,43.14,40.86413,48.829675,2.2758700000000003,2.500000000000003,30,2026-01-14,0,42.55,43.687935,
sp500,LVS,EDGE,2026-01-14,2026-01-14,59.985,57.41601,66.407475,2.5689900000000003,2.5000000000000027,30,2026-01-08,6,61.9,63.184495,
sp500,LVS,EDGE,2026-01-14,2026-01-14,59.985,57.12951,67.123725,2.85549,2.499999999999995,30,2026-01-12,2,59.89,61.317745,
sp500,LVS,EDGE,2026-01-14,2026-01-14,59.985,57.26301,66.789975,2.721989999999999,2.4999999999999987,30,2026-01-13,1,59.88,61.240995000000005,
sp500,LVS,EDGE,2026-01-14,2026-01-14,59.985,57.42401,66.387475,2.560989999999998,2.5000000000000013,30,2026-01-14,0,59.9,61.180495,
sp500,MAR,EDGE,2026-01-14,2026-01-14,321.05,308.63012000000003,352.0997,12.419879999999996,2.500000000000002,30,2026-01-13,1,322.96,329.16994,
sp500,MAR,EDGE,2026-01-14,2026-01-14,321.05,308.96012,351.2747,12.089879999999994,2.5,30,2026-01-14,0,319.68,325.72494,
sp500,MCK,EDGE,2026-01-14,2026-01-14,824.235,794.70708,898.0548000000001,29.52792000000003,2.500000000000004,30,2026-01-08,6,814.63,829.39396,
